XFLR5 v6.09.01 beta
NACA 0014
T1_Al 0.00_M0.30_N12.0
Alpha =  30.0,  Re = 30000000,  Ma = 0.3000,  ACrit =12.0 

   x        Cpi      Cpv        Qi        Qv
 0.6733    0.685     0.063    -0.580    -0.969
 0.6878    0.674     0.044    -0.589    -0.979
 0.7022    0.663     0.025    -0.598    -0.988
 0.7165    0.653     0.005    -0.606    -0.998
 0.7308    0.643    -0.015    -0.614    -1.007
 0.7450    0.633    -0.035    -0.622    -1.017
 0.7591    0.623    -0.056    -0.630    -1.026
 0.7730    0.613    -0.076    -0.638    -1.036
 0.7868    0.604    -0.098    -0.645    -1.045
 0.8005    0.595    -0.119    -0.652    -1.055
 0.8140    0.586    -0.142    -0.659    -1.065
 0.8273    0.577    -0.164    -0.665    -1.075
 0.8404    0.568    -0.188    -0.671    -1.085
 0.8533    0.560    -0.211    -0.677    -1.096
 0.8660    0.552    -0.236    -0.683    -1.106
 0.8783    0.545    -0.261    -0.688    -1.117
 0.8904    0.538    -0.287    -0.693    -1.128
 0.9022    0.531    -0.313    -0.698    -1.139
 0.9136    0.525    -0.340    -0.702    -1.150
 0.9246    0.520    -0.369    -0.706    -1.161
 0.9352    0.515    -0.398    -0.709    -1.173
 0.9454    0.512    -0.427    -0.711    -1.185
 0.9550    0.509    -0.458    -0.713    -1.197
 0.9641    0.508    -0.490    -0.714    -1.209
 0.9725    0.510    -0.523    -0.713    -1.222
 0.9802    0.513    -0.556    -0.710    -1.234
 0.9871    0.521    -0.588    -0.705    -1.246
 0.9929    0.536    -0.620    -0.695    -1.258
 0.9975    0.563    -0.636    -0.675    -1.264
 1.0000    0.621    -0.815    -0.632    -1.328


